Airline ;Aircraft with seatmap ;Seat Pitch ;Seat Width ;Video Type ;Laptop Power ;Power Type ;Wi-Fi ;Seat Type 
Aegean Airlines;Airbus A321 (321);30;18;Overhead TV;None;None;No;Standard
Aer Lingus;Airbus A330-200 (332) V1;31-32;17;On-Demand TV;All Seats;AC Power;Yes;Standard
Aer Lingus;Airbus A330-300 (333);31-32;17;On-Demand TV;All Seats;AC Power;Yes;Standard
Aer Lingus;Boeing 757-200 (752);31;18;On-Demand TV;None;None;No;Standard
Aer Lingus;Airbus A330-200 (332) V2;31-32;17;On-Demand TV;All Seats;AC Power;Yes;Standard
Aeroflot;Airbus A330-300 (333) V2;30-32;18;On-Demand TV;All Seats;AC Power;Yes;Standard
Aeroflot;Airbus A330-300 (333) V3;30-32;18;On-Demand TV;All Seats;AC Power;Yes;Standard
Aeroflot;Airbus A330-200 (332);31;18;On-Demand TV;None;None;Yes;Standard
Aeroflot;Boeing 777-300ER (773);30-32;18;On-Demand TV;None;None;Yes;Standard
Aerolineas Argentinas;Airbus A330-200 (332);31;17;Seatback TV;None;None;No;Standard
Aerolineas Argentinas;Airbus A340-300 (343);31;17;Overhead TV;None;None;No;Standard
Aeromexico;Boeing 787-9 (789);35-36;17.2;On-Demand TV;None;None;Yes;Standard
Aeromexico;Boeing 787-8 (788);31-34;17.2;On-Demand TV;None;None;Yes;Standard
Aeromexico;Boeing 787-9 (789);31;17.2;On-Demand TV;None;None;Yes;Standard
Air Austral;Boeing 787-8 (788);32-35;17.3;On-Demand TV;None;None;Yes;Standard
Air Austral;Boeing 777-300ER (77W);32;17.2;Seatback TV;None;None;Yes;Standard
Air Canada;Boeing 777-200LR (77L) Three Class;31;17;On-Demand TV;All Seats;AC Power;No;Standard
Air Canada;Boeing 777-300ER (77W) Three Class V1;31;17;On-Demand TV;All Seats;AC Power;No;Standard
Air Canada;Boeing 777-300ER (77W) Three Class V2;31;17;On-Demand TV;All Seats;AC Power;No;Standard
Air Canada;Boeing 787-8 (788);31;17.3;On-Demand TV;Some Seats;AC Power;No;Standard
Air Canada;Boeing 787-9 (789);31;17.3;On-Demand TV;All Seats;AC Power;No;Standard
Air Canada;Boeing 767-300ER (763);31-33;17.8;Portable Device;Some Seats;AC Power;No;Standard
Air Canada;Boeing 767-300ER (763) rouge;30;17.5;Portable Device;All Seats;AC Power;No;Standard
Air Canada;Airbus A330-300 (333) V2;31;18;On-Demand TV;Some Seats;AC Power;No;Standard
Air Canada;Boeing 767-300ER (763) rouge;35;18;Portable Device;All Seats;AC Power;No;Standard
Air China;Boeing 747-8 (74H);31-33;18;None;None;None;No;Standard
Air China;Boeing 777-200 (772);32-33;17.0;Overhead TV;None;None;Yes;Standard
Air China;Boeing 777-300ER (77W);32;18;On-Demand TV;All Seats;AC Power;Yes;Standard
Air China;Boeing 787-9 (789);31-33;18;On-Demand TV;All Seats;AC Power;No;Standard
Air China;Airbus A330-300 (333);31-32;18.0;Overhead TV;Some Seats;AC Power;Yes;Standard
Air China;Airbus A330-200 (332) V2;32;17.7;On-Demand TV;None;None;No;Standard
Air China;Airbus A330-200 (332) V1;32;18;On-Demand TV;None;None;No;Standard
Air China;Boeing 747-400 (744);31-33;18;Overhead TV;None;None;No;Standard
Air Europa;Airbus A330-200 (332);31;17;On-Demand TV;None;None;Yes;Standard
Air Europa;Boeing 787-8 (788);31;17;On-Demand TV;All Seats;AC Power;Yes;Standard
Air France;Boeing 777-200ER (772) Three Class V1;32;17;On-Demand TV;None;None;No;Standard
Air France;Boeing 777-200ER (772) Three Class V2;32;17;On-Demand TV;None;None;No;Standard
Air France;Boeing 777-200ER (772) Three Class V4;32;17;On-Demand TV;None;None;No;Standard
Air France;Boeing 777-300ER (77W) Caribbean;32;17;On-Demand TV;None;None;No;Standard
Air France;Boeing 777-300ER (77W) Four Class V1;32;17;On-Demand TV;None;None;No;Standard
Air France;Boeing 777-300ER (77W) Four Class V2;33-34;17;On-Demand TV;All Seats;AC Power;No;Standard
Air France;Airbus A330-200 (332);32;18;On-Demand TV;None;None;No;Standard
Air France;Boeing 777-300ER (77W) Three Class;32;17;On-Demand TV;None;AC Power;No;Standard
Air France;Boeing 787-9 (789);31;17;On-Demand TV;All Seats;AC Power;Yes;Standard
Air France;Airbus A340-300 (343);32;18;On-Demand TV;None;None;No;Standard
Air France;Airbus A380-800 (380);32;17.5;On-Demand TV;None;None;No;Standard
Air France;Boeing 777-300ER (77W) Four Class V2;32;17;On-Demand TV;None;None;No;Standard
Air India;Boeing 777-300ER (77W);31-33;18;On-Demand TV;None;None;No;Standard
Air India;Boeing 747-400 (744);31-34;17.3-18;On-Demand TV;None;None;No;Standard
Air India;Boeing 777-200LR (77L);34;18;On-Demand TV;None;None;No;Standard
Air India;Boeing 787-8 (788);33;17;Seatback TV;All Seats;AC Power;No;Standard
Air Italy;Airbus A330-200 (332);31-36;18;On-Demand TV;All Seats;AC Power;Yes;Standard
Air New Zealand;Boeing 787-9 V1 (789);31-32;17.2;Seatback TV;Some Seats;AC Power;No;Standard
Air New Zealand;Boeing 777-300 (773);32-33;17.1;On-Demand TV;All Seats;AC Power;No;Standard
Air New Zealand;Boeing 787-9 V2 (789);31-33;17.2;On-Demand TV;Some Seats;AC Power;No;Standard
Air New Zealand;Boeing 777-200ER (772);31-33;17.8;On-Demand TV;None;None;No;Standard
Air Serbia;Airbus A330-200 (332);32;18;On-Demand TV;None;None;Yes;Standard
Air Tahiti Nui;Airbus A340-300 (343);33;18.0;Seatback TV;None;None;No;Standard
Air Tahiti Nui;Boeing 787-9 (789);31;17;On-Demand TV;None;None;No;Standard
Air Transat;Airbus A310-300 (313) New Business;32-33;16.5;Overhead TV;None;None;No;Standard
Air Transat;Boeing 737-700 (73G);32-33;16.5;Overhead TV;None;None;No;Standard
Air Transat;Airbus A330-200 (332) New Business;32-33;17;On-Demand TV;None;None;No;Standard
Air Transat;Airbus A330-300 (333) V1;32-33;17;On-Demand TV;None;None;No;Standard
Air Transat;Airbus A330-300 (333) V2;32-33;17;On-Demand TV;None;None;No;Standard
Air Vanuatu;Boeing 737-800 (73H);31;17;Yes;None;None;No;Standard
AirAsia X;Airbus A330-300 (333);32;16.5;None;Some Seats;AC Power;No;Standard
Alitalia;Airbus A330-200 (332) Three Class;31-32;17;On-Demand TV;All Seats;AC Power;Yes;Standard
Alitalia;Boeing 777-200ER (772);30-35;17;On-Demand TV;None;None;Yes;Standard
American Airlines;Airbus A330-300 (333);31-33;16.3 - 17.8;On-Demand TV;All Seats;AC Power;No;Standard
American Airlines;Airbus A330-300 (333);35-36;17.8;On-Demand TV;All Seats;AC Power;No;Standard
American Airlines;Boeing 757-200 (752) Domestic V2;34-35;17;Overhead TV;All Seats;AC Power;Yes;Standard
American Airlines;Boeing 757-200 (752) Domestic V2;31-32;17;Overhead TV;All Seats;AC Power;Yes;Standard
American Airlines;Boeing 757-200 (752) International;35-37;16.6;Overhead TV;Some Seats;AC Power;Yes;Standard
American Airlines;Airbus A330-200 (332);31-32;16.3-17.8;On-Demand TV;All Seats;AC Power;Yes;Standard
American Airlines;Boeing 767-300 (763);35-37;17.8;Overhead TV;All Seats;AC Power;No;Standard
American Airlines;Boeing 767-300 (763);31-32;17.8;Overhead TV;None;None;No;Standard
American Airlines;Boeing 777-200 (777) V1;36-37;17.1 - 18.1;On-Demand TV;All Seats;AC Power;Yes;Standard
American Airlines;Boeing 777-200 (777) V1;31-32;17.1 - 18.1;On-Demand TV;All Seats;AC Power;Yes;Standard
American Airlines;Boeing 777-200 (777) V2;36-37;17;Seatback TV;All Seats;AC Power;Yes;Standard
American Airlines;Boeing 777-200 (777) V2;31-32;17;Seatback TV;All Seats;AC Power;Yes;Standard
American Airlines;Boeing 777-300ER (77W);36;17.1 - 18.1;On-Demand TV;All Seats;AC Power;Yes;Standard
American Airlines;Boeing 777-300ER (77W);31-32;16.2 - 17.1;On-Demand TV;All Seats;AC Power;Yes;Standard
American Airlines;Boeing 787-8 (788);35-36;17.2;On-Demand TV;All Seats;AC Power;Yes;Standard
American Airlines;Boeing 787-8 (788);31-33;16.2 - 18.1;On-Demand TV;All Seats;AC Power;Yes;Standard
American Airlines;Boeing 787-9 (789);35;17.2;On-Demand TV;All Seats;AC Power;Yes;Standard
American Airlines;Boeing 787-9 (789);31;16.2 - 17.2;On-Demand TV;All Seats;AC Power;Yes;Standard
American Airlines;Airbus A330-200 (332);35;17.8;On-Demand TV;All Seats;AC Power;Yes;Standard
American Airlines;Boeing 757-200 (752) International;31;16.6;Overhead TV;Some Seats;AC Power;Yes;Standard
ANA;Boeing 737-700 (737);32;17.0;None;None;None;No;Standard
ANA;Boeing 767-300ER (763) V1;31;18.6;On-Demand TV;All Seats;AC Power;Yes;Standard
ANA;Boeing 767-300ER (763) V2;31;17;On-Demand TV;None;None;Yes;Standard
ANA;Boeing 777-200ER (772) Three Class;31-32;16;On-Demand TV;None;None;No;Standard
ANA;Boeing 777-200ER (772) Two Class;31;17;On-Demand TV;None;None;No;Standard
ANA;Boeing 777-300ER (77W) V1;34;16.5;On-Demand TV;None;None;Yes;Standard
ANA;Boeing 777-300ER (77W) V2;34;16.5;On-Demand TV;All Seats;AC Power;Yes;Standard
ANA;Boeing 777-300ER (77W) V4;31;17.0;On-Demand TV;All Seats;AC Power;Yes;Standard
ANA;Boeing 787-8 (788) Three Class;31;17.3;On-Demand TV;All Seats;AC Power;No;Standard
ANA;Boeing 787-8 (788) Two Class V1;31;18.6;Seatback TV;All Seats;AC Power;No;Standard
ANA;Boeing 787-8 (788) Two Class V3;31;18.6;Seatback TV;All Seats;AC Power;No;Standard
ANA;Boeing 787-9 (789) Domestic;34;18.5;Seatback TV;None;None;No;Standard
ANA;Boeing 787-900 (789) V1 International;34;17.3;On-Demand TV;All Seats;AC Power;No;Standard
ANA;Boeing 787-900 (789) V2 International;34;17.3;On-Demand TV;All Seats;AC Power;No;Standard
ANA;Airbus A320 (320) V2;31-32;17.0;On-Demand TV;None;None;Yes;Standard
ANA;Boeing 767-300 (763) Domestic;31;17.5;On-Demand TV;None;None;No;Standard
Asiana;Airbus A350-900 (359);36;18;On-Demand TV;All Seats;AC Power;Yes;Standard
Asiana;Airbus A380-800 (388);33;18.9;On-Demand TV;All Seats;AC Power;No;Standard
Asiana;Boeing 747-400 (747);33-34;17.2;On-Demand TV;All Seats;AC Power;No;Standard
Asiana;Boeing 767-300 (763);31-32;18;Overhead TV;None;None;No;Standard
Asiana;Boeing 777-200ER (772) V1;33-34;18;On-Demand TV;None;None;No;Standard
Asiana;Boeing 777-200ER (772) V2;33-34;18;Seatback TV;None;None;No;Standard
Asiana;Boeing 777-200ER (772) V3;33-34;18;On-Demand TV;None;None;No;Standard
Asiana;Airbus A330-300 (333) V2;33-34;17.7;On-Demand TV;All Seats;AC Power;No;Standard
Asiana;Airbus A330-300 (333) V1;33;17.7;On-Demand TV;All Seats;AC Power;No;Standard
Asiana;Airbus A350-900 (359);32-33;18;On-Demand TV;All Seats;AC Power;Yes;Standard
Austrian;Boeing 767-300ER (763);30-31;17;On-Demand TV;None;None;No;Standard
Austrian;Boeing 777-200 (772);31-33;17;On-Demand TV;None;None;No;Standard
Avianca;Boeing 787-8 (788);31-36;17;On-Demand TV;All Seats;AC Power;No;Standard
Avianca;Airbus A330-200 (332);31-32;17-19;On-Demand TV;All Seats;AC Power;No;Standard
Azerbaijan Hava Yollary;Airbus A340-500 (345);32;18;Seatback TV;None;None;No;Standard
Azerbaijan Hava Yollary;Boeing 767-300ER (76W);31-32;18;Seatback TV;None;None;No;Standard
Azerbaijan Hava Yollary;Boeing 787-8 Dreamliner (788);32;18;Seatback TV;None;None;No;Standard
Azerbaijan Hava Yollary;Boeing 757-200 (752);31-32;17.5;Overhead TV;None;None;No;Standard
Azul;Airbus A330-200 (332);34;18;Satellite TV;All Seats;AC Power;No;Standard
Azul;Airbus A330-200 (332);31;18;Satellite TV;All Seats;AC Power;No;Standard
British Airways;Boeing 787-8 (788);31;17.5;On-Demand TV;All Seats;AC Power;No;Standard
British Airways;Boeing 747-400 (744) V1;31;17.5;On-Demand TV;None;None;No;Standard
British Airways;Boeing 747-400 (744) V3;31;17.5;On-Demand TV;None;None;No;Standard
British Airways;Airbus A380-800 (388);31;17.5;On-Demand TV;All Seats;AC Power;No;Standard
British Airways;Boeing 777-200 (772) Three Class V1;31;17.5;On-Demand TV;None;None;No;Standard
British Airways;Boeing 777-200 (772) Three Class V2;31;18.1;On-Demand TV;None;None;No;Standard
British Airways;Boeing 777-300 (773) Four Class;31;17.5;On-Demand TV;All Seats;AC Power;No;Standard
British Airways;Boeing 747-400 (744) V2;31;17.5;On-Demand TV;None;None;No;Standard
British Airways;Boeing 787-9 (789);31;17.5;On-Demand TV;All Seats;AC Power;No;Standard
British Airways;Airbus A321 (321) Intl;31;17.5;On-Demand TV;None;None;No;Standard
British Airways;Boeing 777-200 (772) Four Class;31;17.5;On-Demand TV;Some Seats;AC Power;No;Standard
Brussels Airlines;Airbus A330-300 (333);32;17.5;On-Demand TV;None;None;No;Standard
Brussels Airlines;Airbus A330-300 (333);34;17.5;On-Demand TV;None;None;No;Standard
Brussels Airlines;Airbus A330-200 (332);31-33;17.5;On-Demand TV;None;None;No;Standard
Cathay Pacific;Airbus A330-300 (33K) Three Class;32;18.45;On-Demand TV;All Seats;AC Power;No;Standard
Cathay Pacific;Airbus A330-300 (33P) Two Class V2 New Regional;32;18.2;On-Demand TV;None;None;No;Standard
Cathay Pacific;Airbus A350-1000 (351);32;18;On-Demand TV;All Seats;AC Power;Yes;Standard
Cathay Pacific;Airbus A350-900 (35G);32;18;On-Demand TV;All Seats;AC Power;Yes;Standard
Cathay Pacific;Boeing 777-200 (772) New Regional;32;17.5;On-Demand TV;None;None;No;Standard
Cathay Pacific;Boeing 777-300 (73Z) New Regional;32;18.2;On-Demand TV;All Seats;AC Power;No;Standard
Cathay Pacific;Boeing 777-300ER (77G) Three Class;32;18.5;On-Demand TV;All Seats;AC Power;No;Standard
Cathay Pacific;Boeing 777-300ER (77H) Four Class;32;18.5;On-Demand TV;All Seats;AC Power;No;Standard
Cathay Pacific;Airbus A330-300 (33E) Two Class V1;32;18.2;On-Demand TV;None;None;No;Standard
CEBU Pacific Air;Airbus A330-300 (333);30;16.5;None;None;None;Yes;Standard
