Airline ;Aircraft with seatmap ;Seat Pitch ;Seat Width ;Video Type ;Laptop Power ;Power Type ;Wi-Fi ;Seat Type 
Aegean Airlines;Airbus A319 (319);30;18;None;None;None;No;Standard
Aegean Airlines;Airbus A320 (320);30;18;Overhead TV;None;None;No;Standard
Aegean Airlines;Bombardier Q400 (DH4);30;17;None;None;None;No;Standard
Aegean Airlines;ATR 42-600 (ATR);30;17;None;None;None;No;Standard
Aer Lingus;Airbus A321 (321);31-32;17;None;None;None;No;Standard
Aer Lingus;Airbus A320 (320);31-32;17;None;None;None;No;Standard
Aeroflot;Airbus A321 (321) V1;30-32;18;None;None;None;No;Standard
Aeroflot;Airbus A321 (321) V2;30-32;18;None;All Seats;AC Power;No;Standard
Aeroflot;Airbus A321 (321) V3;30-32;18;Portable Device;None;None;No;Standard
Aeroflot;Boeing 737-800 (738);30-32;18;None;All Seats;AC Power;No;Standard
Aeroflot;Sukhoi Superjet 100-95B (SU9);30-32;18.3;None;None;None;No;Standard
Aeroflot;Airbus A320 (320) V1;30-32;18;None;None;None;No;Standard
Aeroflot;Airbus A320 (320) V2;30-32;18;None;None;None;No;Standard
Aerolineas Argentinas;Boeing 737-700 (737);32;17;None;None;None;No;Standard
Aerolineas Argentinas;Boeing 737-800 (738);32;17;None;None;None;Yes;Standard
Aeromexico;Boeing 737-700 (737);31;17;Overhead TV;None;None;No;Standard
Aeromexico;Boeing 737-800 (738) V1;34;17;On-Demand TV;None;None;No;Standard
Aeromexico;Boeing 737-800 (738) V1;31;17;On-Demand TV;None;None;No;Standard
Aeromexico;Boeing 737-800 (738) V2;34;17;On-Demand TV;None;None;Yes;Standard
Aeromexico;Boeing 737-800 (738) V2;31;17;On-Demand TV;None;None;Yes;Standard
Aeromexico;Embraer 170 (E70);31;17.3;None;None;None;No;Standard
Aeromexico;Embraer 190 (E90) V1;31;18.3;None;None;None;No;Standard
Aeromexico;Embraer 190 (E90) V2;31;18.3;None;None;None;No;Standard
Aeromexico;Boeing 737 MAX 8 (7M8);31;17;On-Demand TV;None;None;Yes;Standard
