Airline ;Aircraft with seatmap ;Seat Pitch ;Seat Width ;Video Type ;Laptop Power ;Power Type ;Wi-Fi ;Seat Type 
Aegean Airlines;Airbus A319 (319);33;18;None;None;None;No;Standard
Aegean Airlines;Airbus A320 (320);33;18;Overhead TV;None;None;No;Standard
Aeroflot;Airbus A320 (320) V2;38;21;Portable Device;All Seats;AC Power;No;Recliner
Aeroflot;Airbus A321 (321) V1;38;21;Portable Device;All Seats;AC Power;No;Recliner
Aeroflot;Airbus A321 (321) V3;38;21;Portable Device;All Seats;AC Power;No;Recliner
Aeroflot;Boeing 737-800 (738);38;21;On-Demand TV;All Seats;AC Power;No;Recliner
Aeroflot;Sukhoi Superjet 100-95B (SU9);36;18.3;Seatback TV;None;None;No;Recliner
Aeroflot;Airbus A320 (320) V1;38;21;Portable Device;All Seats;AC Power;No;Recliner
Aeroflot;Airbus A321 (321) V2;38;21;Portable Device;All Seats;AC Power;No;Recliner
Aerolineas Argentinas;Boeing 737-700 (737);36;18;None;None;None;No;Recliner
Aerolineas Argentinas;Boeing 737-800 (738);36;18;None;None;None;Yes;Recliner
Aeromexico;Boeing 737 MAX 8 (7M8);38;21;On-Demand TV;All Seats;AC Power;Yes;Recliner
Aeromexico;Boeing 737-700 (737);36;21;Overhead TV;None;None;No;Recliner
Aeromexico;Embraer 190 (E90) V1;36;19;None;None;None;No;Recliner
Aeromexico;Boeing 737-800 (738) V1;39;21;On-Demand TV;None;None;No;Recliner
Air Austral;Boeing 737-800 (738);40-42;20.4;Overhead TV;None;None;Yes;Recliner
Air Canada;Embraer E-175;38;20;On-Demand TV;All Seats;AC Power;Yes;Recliner
Air Canada;Airbus A321 (321) V2;37-38;21.1;On-Demand TV;All Seats;AC Power;Yes;Recliner
Air Canada;Boeing 737 MAX 8 (7M8);38;21;On-Demand TV;All Seats;AC Power;No;Recliner
Air Canada;Bombardier CRJ-705;37;21;On-Demand TV;None;None;No;Recliner
Air Canada;Bombardier CRJ-900;37;21;On-Demand TV;None;None;No;Recliner
Air Canada;Airbus A321 (321) V1;37-38;21.1;On-Demand TV;All Seats;AC Power;No;Recliner
Air Canada;Embraer E-190;38;20;On-Demand TV;All Seats;AC Power;No;Recliner
Air Canada;Airbus A319 (319) rouge;36;21;Portable Device;All Seats;AC Power;No;Standard
Air Canada;Airbus A321 (321) rouge;37;21;Portable Device;All Seats;AC Power;No;Recliner
Air Canada;Airbus A320 (320);38;21.1;On-Demand TV;All Seats;AC Power;Yes;Recliner
Air Canada;Airbus A319 (319);38-39;21.1;On-Demand TV;All Seats;AC Power;Yes;Recliner
Air China;Airbus A321 (321) V2;38;21;Overhead TV;None;None;No;Recliner
Air China;Boeing 737-700 (737);38;21.0;Overhead TV;None;None;No;Recliner
Air China;Boeing 737-800 (738) V1;40;21.0;Overhead TV;None;None;No;Recliner
Air China;Boeing 737-800 (738) V2;38;21.0;Overhead TV;None;None;No;Recliner
Air China;Airbus A319 (319);41;21.0;Overhead TV;None;None;No;Recliner
Air China;Airbus A320 (320);36;21.0;Overhead TV;None;None;No;Recliner
Air China;Airbus A321 (321) V1;38;21.0;Overhead TV;None;None;No;Recliner
Air Europa;Boeing 737-800 (738);33;21;Overhead TV;None;None;No;Recliner
Air Europa;Embraer 195 (E95);30;18;Overhead TV;None;None;No;Standard
Air France;Airbus A320 (320) V2;32;18;Seatback TV;None;None;No;Standard
Air France;Airbus A321 (321) V1;32;18;Overhead TV;None;None;No;Standard
Air France;Embraer E-170;36;19;None;All Seats;AC Power;No;Recliner
Air France;Embraer E-190;36;19;None;All Seats;AC Power;No;Recliner
Air France;Airbus A320 (320) V1;34;18;Overhead TV;All Seats;AC Power;No;Standard
Air France;Airbus A319 (319) V1;33;18;None;None;None;No;Standard
Air France;Airbus A318 (318);32;18;None;None;None;No;Standard
Air India;Airbus A321 (321);40;21;Seatback TV;None;None;No;Recliner
Air India;Airbus A320 (320) V2;40;21;Seatback TV;None;None;No;Recliner
Air India;Airbus A319 (319) V1;40;21;Seatback TV;All Seats;AC Power;No;Recliner
Air Italy;Boeing 737 MAX 8 (7M8);32;17;None;All Seats;AC Power;No;Standard
Air Serbia;Airbus A319 (319);39;20;None;None;None;Yes;Recliner
Air Serbia;Airbus A320 (320);39;20;None;None;None;Yes;Recliner
Air Transat;Boeing 737-800 V2 Domestic;34;16.5;Overhead TV;None;None;No;Standard
Alaska Airlines;Boeing 737-400 (734);36;21.0;Portable Device;None;None;Yes;Recliner
Alaska Airlines;Boeing 737-900 (739) V1;36;21;Portable Device;All Seats;AC Power;Yes;Recliner
Alaska Airlines;Boeing 737-900 (739) V2;41;21;Portable Device;All Seats;AC Power;Yes;Recliner
Alaska Airlines;Embraer 175 (E75);42;21.0;Yes;All Seats;AC Power;Yes;Recliner
Alaska Airlines;Boeing 737-700 (737);36;21;Portable Device;None;None;Yes;Recliner
Alaska Airlines;Boeing 737-800 (738) Slimline;41;21;Portable Device;All Seats;AC Power;Yes;Recliner
Alitalia;Embraer E-175;30;18;None;None;None;No;Standard
Alitalia;Airbus A321 (321) Two Class;32-34;18;None;None;None;No;Standard
Alitalia;Embraer E-190;34;18;None;None;None;No;Standard
Alitalia;Airbus A320 (320) Two Class;32;18;None;None;None;No;Standard
American Airlines;Airbus A321 (321) V2;38;21;Seatback TV;All Seats;AC Power;Yes;Recliner
American Airlines;Airbus A321 (321) V3;36;21;None;None;None;Yes;Recliner
American Airlines;Airbus A321 (32B) Transcon;62;21;Seatback TV;All Seats;AC Power;Yes;Open Suite
American Airlines;Airbus A321 (32B) Transcon;58;19;Seatback TV;All Seats;AC Power;Yes;Flat Bed
American Airlines;Boeing 737 MAX 8 (7M8);37;21;Portable Device;All Seats;AC Power;Yes;Recliner
American Airlines;Boeing 737-800 (738) V1;40-42;20.4;Yes;All Seats;AC Power;Yes;Recliner
American Airlines;Boeing 737-800 (738) V2;37;21;Portable Device;All Seats;AC Power;Yes;Recliner
American Airlines;Bombardier CRJ-700 (CR7) V1;37;21.0;None;None;None;Yes;Recliner
American Airlines;Bombardier CRJ-700 (CR7) V2;37;19.75;None;None;None;Yes;Recliner
American Airlines;Bombardier CRJ-900 (CR9) V1;37;19.6;None;None;None;Yes;Recliner
