Airline;Moy. Average.Age;Current;Future;Moy. Total.Cost..Current.
ABX Air;10,17;28;0;1 744,33
Aegean Airlines;4,90;47;0;788,83
Aer Lingus;4,45;51;1;489,77
Aer Lingus Regional;4,80;11;0;243,00
Aeroflot;1,13;189;2;1 185,42
Aerolineas Argentinas;4,40;54;2;774,63
Aeromexico;2,56;69;2;920,00
Aeromexico Connect;10,93;69;0;859,00
Aeromexico Express;3,50;2;0;44,00
AeroUnion;32,65;7;0;374,50
Air Algerie;4,11;56;1;378,38
Air Arabia;2,90;38;0;3 724,00
Air Arabia Egypt;9,60;1;0;98,00
Air Arabia Jordan;10,00;2;0;196,00
Air Arabia Maroc;4,40;5;0;490,00
Air Astana;5,51;31;0;308,00
Air Berlin;4,34;130;9;1 125,42
Air Busan;8,13;18;0;655,67
Air Cairo;4,55;6;0;294,00
Air Canada;6,82;166;3;1 529,06
Air Canada Jetz;6,23;3;0;89,67
Air Canada Regional;18,20;1;0;32,00
Air Canada Rouge;12,73;44;0;1 972,67
Air China;3,35;375;9;3 618,57
Air China Cargo;9,30;15;0;898,25
Air China Inner Mongolia;9,10;3;0;222,00
Air Dolomiti;0,98;10;0;77,00
Air Europa;6,39;51;4;638,00
Air France;4,80;226;0;2 013,86
Air Greenland;12,67;8;0;153,00
Air Hong Kong;19,90;13;0;848,50
Air India;4,72;108;12;1 286,71
Air India Express;6,70;23;0;1 702,00
Air India Regional;7,37;15;0;129,33
Air Italy;8,29;18;0;0,00
Air Macau (66.9%);4,82;17;0;360,20
Air Malta;0,00;9;0;0,00
Air Mauritius;6,96;13;1;0,00
Air Namibia;2,94;10;0;0,00
Air New Zealand;4,38;56;1;1 124,22
Air New Zealand Link;6,00;49;0;431,67
Air Nostrum/Iberia Regional;4,91;45;2;263,29
Air Seoul;3,80;3;0;345,00
Air Transat;8,85;41;0;894,50
Air Transport International;19,20;17;0;754,00
Air Wisconsin;2,88;66;0;420,40
AirAsia;1,24;77;0;1 509,20
AirAsia India;6,60;8;0;784,00
AirAsia Japan;1,10;2;0;196,00
AirAsia X;1,33;22;0;1 760,00
Al Maha Airways;1,40;4;0;392,00
Alaska Airlines;6,25;173;2;3 059,25
Alitalia;4,01;103;0;950,80
Alitalia Cityliner;3,20;20;0;270,67
All Nippon Airways;6,34;215;8;4 955,00
Allegiant Air;15,82;85;6;1 108,20
American Airlines;6,31;928;23;4 947,24
American Eagle;4,58;297;2;1 698,33
ANA Wings;9,63;39;0;663,00
Anadolujet (100%);3,25;34;0;628,75
Asiana Airlines;8,40;83;2;2 027,56
Atlas Air;9,55;57;0;3 694,75
Aurora Airlines;6,45;20;2;289,75
Austral LÃ­neas AÃ©reas;1,35;26;1;300,25
Australian Air Express;9,57;3;0;13,67
Austrian Airlines;8,91;81;7;494,21
Avianca;1,92;115;3;753,53
Avianca Brazil;2,88;46;5;677,00
Avianca Cargo Colombia;1,65;6;0;720,00
Avianca Ecuador;9,80;10;0;465,00
Avianca El Salvador/TACA Airlines;6,80;41;0;756,00
Avianca Guatemala;2,20;4;0;88,00
Avianca Honduras;2,20;2;0;44,00
Avianca Peru;8,80;12;0;472,67
Azul;3,77;123;7;982,50
BA CityFlyer;8,75;22;0;225,75
Batik Air;1,85;41;1;1 841,00
British Airways;5,00;268;1;2 574,95
Brussels Airlines;12,44;100;4;730,86
Cambodia Angkor Air;5,00;6;1;131,33
Capital Airlines (70%);2,96;72;4;1 036,86
Cathay Dragon;14,23;42;0;2 316,33
Cathay Pacific;8,42;146;6;8 200,20
Cebu Pacific Air;3,44;57;1;805,29
Chang An Airlines (67.01%);0,00;3;0;288,00
